ID,Gender,Status,Children,Est_Income,Age,MARITAL STATUS,BUYER CATEGORY,LTV,DEMOGRAPHIC CLUSTER,ONLINE BEHAVIOR CLUSTER,BUYING BEHAVIOR CLUSTER,Retailer country,Retailer type,Product line,Product type,Product,Year,Quarter,Gross margin,State
310,F,S,0,32098.0,22.433333,U,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Putters,Blue Steel Putter,2021,Q1 2021,0.51567708,Oregon
312,F,M,2,80087.7,41.92,M,Product Viewer,HIGH VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2021,Q1 2021,0.71809391,Oregon
313,F,M,2,59691.3,38.04,U,Buyer,MEDIUM VALUE,MARRIED MEN,BUYER,ONLINE MEDIUM VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Umbrella,2021,Q1 2021,0.49569036,Arizona
315,F,S,2,11251.1,61.0,M,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2021,Q1 2021,0.60547581,Arizona
317,M,M,0,70908.7,49.62,S,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2021,Q1 2021,0.7665375,California
587,F,D,1,68427.4,42.393333,M,Product Viewer,HIGH VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.49000785,Oregon
589,M,S,0,3601.71,49.266667,M,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2021,Q1 2021,0.43751289,Oregon
591,F,S,0,98716.3,55.66,S,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2021,Q1 2021,0.44955007,California
592,F,S,2,66182.7,62.48,S,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.47786745,Oregon
593,F,S,2,84789.3,50.433333,M,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Putters,Blue Steel Putter,2021,Q1 2021,0.50617284,Oregon
595,F,M,2,35976.5,48.853333,M,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Golf Equipment,Putters,Blue Steel Max Putter,2021,Q1 2021,0.45933212,Oregon
596,F,M,0,32703.1,64.92,U,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2021,Q1 2021,0.70258852,Oregon
598,F,M,2,8204.72,52.973333,U,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Golf Equipment,Golf Accessories,Course Pro Umbrella,2021,Q1 2021,0.46983672,California
599,M,M,1,97180.4,50.6,U,Product Viewer,MEDIUM VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2021,Q1 2021,0.602288,California
639,F,S,2,19131.1,56.186667,U,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.40018978,California
645,M,M,2,42750.3,50.493333,M,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2021,Q1 2021,0.44535634,California
647,F,S,2,2842.55,45.92,M,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.50139812,Arizona
648,M,M,2,22358.1,52.626667,M,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2021,Q1 2021,0.44845066,California
650,M,M,0,47870.8,27.26,S,Buyer,HIGH VALUE,MIDDLE INCOME SINGLE,BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Putters,Course Pro Putter,2021,Q1 2021,0.51695502,California
651,F,S,2,6440.46,41.0,M,Repeat Buyer,MEDIUM VALUE,MARRIED WOMEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Putters,Blue Steel Putter,2021,Q1 2021,0.5204366,California
652,F,S,0,7325.5,36.92,S,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2021,Q1 2021,0.72868217,Oregon
654,M,M,2,28766.9,46.84,U,Product Viewer,LOW VALUE,MARRIED WOMEN,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Umbrella,2021,Q1 2021,0.51219512,California
656,M,M,1,5252.29,16.333333,M,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2021,Q1 2021,0.61336955,California
660,M,M,2,91272.2,25.033333,U,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2021,Q1 2021,0.7680462,Nevada
784,F,M,2,82644.2,33.493333,S,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.49000785,California
785,F,S,1,27783.6,14.04,U,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Hailstorm Titanium Irons,2021,Q1 2021,0.43751289,Oregon
788,F,M,2,60485.5,41.666667,U,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2021,Q1 2021,0.44535634,California
791,F,M,2,809.43,31.913333,S,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2021,Q1 2021,0.44955007,Oregon
792,M,S,1,76529.8,58.28,S,Visitor,MEDIUM VALUE,MIDDLE INCOME SINGLE,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2021,Q1 2021,0.42250716,California
793,F,M,2,34577.7,63.253333,S,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.47786745,Arizona
795,F,M,0,66666.0,67.0,U,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2021,Q1 2021,0.48311609,Oregon
796,F,S,2,19008.4,52.166667,S,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2021,Q1 2021,0.44845066,Washington
797,F,M,0,98056.3,55.966667,S,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Putters,Course Pro Putter,2021,Q1 2021,0.51695502,Oregon
798,M,M,0,80000.0,53.213333,M,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Putters,Blue Steel Max Putter,2021,Q1 2021,0.45933212,Nevada
800,M,M,0,78894.2,52.74,U,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2021,Q1 2021,0.72868217,Oregon
801,M,S,1,16432.1,20.92,M,Repeat Buyer,MEDIUM VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE MEDIUM VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Umbrella,2021,Q1 2021,0.51468464,Oregon
802,M,S,1,62797.9,32.0,U,Product Viewer,HIGH VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2021,Q1 2021,0.61336955,Oregon
803,M,S,1,71329.9,42.233333,M,Repeat Buyer,MEDIUM VALUE,MARRIED WOMEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Gloves,2021,Q1 2021,0.63527592,Arizona
903,F,S,2,21274.0,45.526667,M,Repeat Buyer,MEDIUM VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE MEDIUM VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.40381199,Oregon
904,F,M,2,28267.0,30.093333,S,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2021,Q1 2021,0.43751289,Washington
906,F,M,2,36725.1,55.793333,U,Product Viewer,HIGH VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2021,Q1 2021,0.44535634,Arizona
910,M,S,1,94188.3,57.546667,S,Repeat Buyer,MEDIUM VALUE,HIGH INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2021,Q1 2021,0.44955007,California
913,F,M,2,91861.0,41.98,S,Product Viewer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2021,Q1 2021,0.42250716,Arizona
916,F,S,1,12374.9,33.493333,S,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.49608138,Arizona
917,F,M,2,69133.9,26.833333,U,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2021,Q1 2021,0.48311609,Arizona
919,F,M,2,84948.0,29.446667,U,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2021,Q1 2021,0.44845066,California
920,F,M,2,30998.8,40.96,M,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Putters,Course Pro Putter,2021,Q1 2021,0.51695502,Oregon
926,M,D,1,21416.5,35.653333,M,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Putters,Blue Steel Putter,2021,Q1 2021,0.51097809,Oregon
930,M,S,1,78554.2,16.7,S,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Putters,Blue Steel Max Putter,2021,Q1 2021,0.45933212,California
931,M,S,1,3960.5,14.693333,S,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2021,Q1 2021,0.72868217,Oregon
933,M,M,0,60101.1,63.766667,M,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Umbrella,2021,Q1 2021,0.51729686,Nevada
934,F,M,2,38215.9,30.886667,M,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2021,Q1 2021,0.63523513,Arizona
988,F,S,0,64319.2,41.226667,M,Product Viewer,MEDIUM VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Equipment Rental Store,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.31515339,Arizona
989,F,S,1,73338.0,48.246667,U,Product Viewer,MEDIUM VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.5091954,Oregon
990,F,S,0,433.74,60.746667,M,Product Viewer,MEDIUM VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Golf Equipment,Putters,Course Pro Putter,2021,Q1 2021,0.51695502,Arizona
991,F,M,2,16962.2,45.36,M,Buyer,MEDIUM VALUE,MARRIED MEN,BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Equipment Rental Store,Golf Equipment,Putters,Blue Steel Putter,2021,Q1 2021,0.53577465,Nevada
993,M,M,2,10708.3,26.026667,M,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2021,Q1 2021,0.61336955,Arizona
1367,F,M,2,48322.5,49.333333,M,Repeat Buyer,HIGH VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.44680903,Oregon
1369,M,S,2,78373.5,35.346667,M,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Sports Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2021,Q1 2021,0.43751289,Washington
1370,F,M,2,81913.8,49.66,M,Buyer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2021,Q1 2021,0.44955007,California
1373,F,S,0,919.93,38.26,S,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2021,Q1 2021,0.42250716,California
1374,F,M,2,69486.8,30.946667,M,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.48824453,Arizona
1375,F,M,2,24482.8,33.533333,U,Product Viewer,MEDIUM VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2021,Q1 2021,0.48311609,Nevada
1377,F,M,0,14573.6,64.606667,U,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Putters,Blue Steel Putter,2021,Q1 2021,0.51050797,Oregon
1378,F,M,2,92103.8,52.153333,S,Repeat Buyer,HIGH VALUE,HIGH INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Putters,Blue Steel Max Putter,2021,Q1 2021,0.45933212,Oregon
1379,F,S,2,8392.14,36.68,S,Repeat Buyer,HIGH VALUE,HIGH INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2021,Q1 2021,0.41792636,California
1380,F,S,0,17138.2,63.786667,S,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Golf Equipment,Golf Accessories,Course Pro Umbrella,2021,Q1 2021,0.34533306,California
1382,F,M,2,47010.1,57.406667,M,Product Viewer,HIGH VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2021,Q1 2021,0.60322712,Oregon
1384,F,D,1,67239.4,44.433333,U,Buyer,LOW VALUE,HIGH INCOME FAMILY,BUYER,ONLINE MEDIUM VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Hailstorm Titanium Irons,2021,Q1 2021,0.43751289,Washington
1385,M,M,1,69406.7,46.826667,M,Repeat Buyer,HIGH VALUE,MARRIED WOMEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2021,Q1 2021,0.42250716,California
1387,F,M,2,83259.3,50.88,M,Repeat Buyer,MEDIUM VALUE,MARRIED MEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Putters,Course Pro Putter,2021,Q1 2021,0.51695502,Nevada
1394,F,M,2,2185.6,52.513333,S,Product Viewer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Putters,Blue Steel Max Putter,2021,Q1 2021,0.45933212,California
1508,F,M,0,2031.61,20.3,S,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2021,Q1 2021,0.48311609,California
1512,F,S,2,16938.5,43.0,S,Repeat Buyer,HIGH VALUE,HIGH INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2021,Q1 2021,0.72575906,California
1617,F,M,2,84789.3,50.433333,S,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,Canada,Golf Shop,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2021,Q1 2021,0.42250716,
1619,F,M,2,35976.5,48.853333,M,Repeat Buyer,HIGH VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,Canada,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2021,Q1 2021,0.44845066,
